Landmark,Y
17,0.492424697
18,0.468931258
19,0.483443528
20,0.492768377
0,0.614259899
1,0.569611549
2,0.500965238
3,0.442538202
4,0.394321263
5,0.448313862
6,0.37996614
7,0.336485565
8,0.298420101
9,0.457933277
10,0.406341404
11,0.420114785
12,0.431227446
13,0.476955503
14,0.438297302
15,0.48022753
16,0.501680791
17,0.501060605
18,0.478856921
19,0.508941948
20,0.525929451
0,0.631131887
1,0.567212522
2,0.501995862
3,0.446307331
4,0.401166737
5,0.464167982
6,0.408928066
7,0.371964991
8,0.341327727
9,0.474696726
10,0.423805654
11,0.413975954
12,0.404672772
13,0.492829084
14,0.445110857
15,0.473098934
16,0.49635613
17,0.510292113
18,0.483436942
19,0.503982663
20,0.522985458
0,0.598943233
1,0.571122885
2,0.516571105
3,0.47502929
4,0.440979272
5,0.50533092
6,0.471497655
7,0.445314109
8,0.425450146
9,0.504819214
10,0.456793904
11,0.464857936
12,0.468624711
13,0.512925804
14,0.466282964
15,0.500124037
16,0.518700242
17,0.528361499
18,0.496418118
19,0.520658612
20,0.536054492
0,0.638041675
1,0.564103484
2,0.50688082
3,0.464140505
4,0.438617051
5,0.482026935
6,0.426895916
7,0.445451498
8,0.475004882
9,0.492034554
10,0.432950169
11,0.4627783
12,0.493359953
13,0.509332359
14,0.456526339
15,0.491528511
16,0.524204612
17,0.528009355
18,0.480834454
19,0.497171134
20,0.51726985
