Landmark,Y
5,0.444258958
6,0.371438324
7,0.323471189
8,0.281237245
9,0.441544086
10,0.370082259
11,0.323924363
12,0.285061955
13,0.46067366
14,0.391999573
15,0.345908225
16,0.305116326
17,0.487812519
18,0.462821543
19,0.469883591
20,0.478492022
0,0.657265544
1,0.612938821
2,0.550157845
3,0.503343999
4,0.465696424
5,0.448638827
6,0.370175809
7,0.322143495
8,0.281149626
9,0.446627796
10,0.360241413
11,0.310558319
12,0.272093922
13,0.466432482
14,0.392594934
15,0.34628737
16,0.30249685
17,0.499268234
18,0.475042552
19,0.495693594
20,0.516295075
0,0.655573964
1,0.611546755
2,0.54957521
3,0.503648877
4,0.467514545
5,0.448803157
6,0.369938016
7,0.322479844
8,0.280810833
9,0.445790112
10,0.359371305
11,0.309772611
12,0.270871431
13,0.465970099
14,0.394188762
15,0.347147942
16,0.301659405
17,0.500826716
18,0.478360415
19,0.502598464
20,0.525959015
0,0.513825536
1,0.520237565
2,0.502570987
3,0.483736724
4,0.473372161
5,0.451356202
6,0.397539943
7,0.35771814
8,0.323541403
9,0.436786711
10,0.378917456
11,0.329215765
12,0.285107255
13,0.436017752
14,0.386065036
15,0.351149112
16,0.321737051
17,0.441128552
18,0.407303005
19,0.380311638
20,0.357204676
0,0.656400561
1,0.61243546
2,0.549078047
3,0.502670407
4,0.466492891
5,0.447946459
6,0.370173812
7,0.322291255
8,0.281338513
9,0.445736408
10,0.360617459
11,0.31140092
12,0.273210406
13,0.465801924
14,0.392621636
15,0.347047687
16,0.303424716
17,0.499003887
18,0.474865794
19,0.496096164
20,0.516833425
0,0.544758677
1,0.541868508
2,0.521684349
3,0.498577535
4,0.477495074
5,0.4367567
6,0.369591892
7,0.321993202
8,0.281037033
9,0.42751351
10,0.356254488
11,0.305401206
12,0.260388196
13,0.436315536
14,0.37941882
15,0.336204916
16,0.299486756
17,0.455239534
18,0.4336133
19,0.426225632
20,0.420219123
0,0.65443784
1,0.610593736
2,0.547796547
3,0.50209254
4,0.468556255
5,0.448413432
6,0.372548938
7,0.326086283
8,0.285876453
9,0.445003688
10,0.358099222
11,0.308316529
12,0.270274103
13,0.46566087
14,0.393505752
15,0.346121281
16,0.301848948
17,0.501402617
18,0.480445772
19,0.503485441
20,0.525541544
0,0.581792951
1,0.56790185
2,0.533955395
3,0.503228962
4,0.472227991
5,0.4395217
6,0.370415479
7,0.325709224
8,0.285638034
9,0.436219543
10,0.362048686
11,0.314713359
12,0.27345255
13,0.455933988
14,0.392845571
15,0.351352781
16,0.312870145
17,0.48583886
18,0.46497795
19,0.471560061
20,0.478384674
0,0.65348798
1,0.609171271
2,0.548828125
3,0.50341022
4,0.465501189
5,0.445879638
6,0.370355159
7,0.322981238
8,0.283132732
9,0.44415009
10,0.358260453
11,0.30940181
12,0.270896435
13,0.463206917
14,0.391346931
15,0.346324056
16,0.303821564
17,0.493377686
18,0.468696713
19,0.487773061
20,0.506110549
0,0.646724582
1,0.603639007
2,0.541931808
3,0.495084584
4,0.462179899
5,0.443962872
6,0.369048923
7,0.323306382
8,0.283622354
9,0.44065854
10,0.354903102
11,0.305722773
12,0.26830101
13,0.45869568
14,0.387729794
15,0.341497719
16,0.298056573
17,0.489172727
18,0.460089087
19,0.480434507
20,0.502334177
0,0.517835021
1,0.521329045
2,0.501716793
3,0.481441915
4,0.4707959
5,0.443853676
6,0.386880338
7,0.3463642
8,0.311110675
9,0.427978545
10,0.365307301
11,0.318169951
12,0.27578339
13,0.428633898
14,0.369814515
15,0.325696349
16,0.288339674
17,0.437400252
18,0.399618864
19,0.371594489
20,0.346085548
0,0.646249354
1,0.602806211
2,0.542693198
3,0.497234672
4,0.461545318
5,0.442488015
6,0.368985355
7,0.322384685
8,0.283187687
9,0.441108018
10,0.358071685
11,0.310073376
12,0.272141159
13,0.460183889
14,0.386708677
15,0.34137705
16,0.298721611
17,0.490736127
18,0.464004904
19,0.481471151
20,0.499971062
0,0.553890049
1,0.545698404
2,0.518750668
3,0.491318136
4,0.469058514
5,0.431591094
6,0.368255794
7,0.326849341
8,0.291480601
9,0.424654484
10,0.353002429
11,0.305326104
12,0.262714773
13,0.437283158
14,0.379269511
15,0.340137273
16,0.305291802
17,0.460833222
18,0.438880026
19,0.442432851
20,0.446739048
0,0.640268266
1,0.599910796
2,0.540730119
3,0.494170845
4,0.460884243
5,0.441881001
6,0.371681839
7,0.325042009
8,0.287787169
9,0.438836545
10,0.353859603
11,0.30704838
12,0.271709353
13,0.454949826
14,0.382524729
15,0.337410867
16,0.296483696
17,0.480955034
18,0.451512247
19,0.468322694
20,0.487701148
0,0.594989657
1,0.573721111
2,0.529829681
3,0.496529847
4,0.466353953
5,0.438049614
6,0.371193349
7,0.329044551
8,0.291663587
9,0.434848428
10,0.362329453
11,0.316729605
12,0.280441165
13,0.454205871
14,0.38527742
15,0.340366423
16,0.299406976
17,0.483041227
18,0.45410803
19,0.461926967
20,0.472175419
0,0.637577355
1,0.598412633
2,0.539329946
3,0.494342625
4,0.46099323
5,0.441633612
6,0.371965945
7,0.327463031
8,0.289449006
9,0.437037468
10,0.35289216
11,0.30498755
12,0.268071115
13,0.451674372
14,0.381192327
15,0.337420523
16,0.296831816
17,0.477246255
18,0.449639052
19,0.470784217
20,0.493693918
0,0.637909174
1,0.597409368
2,0.537919521
3,0.492506504
4,0.461283058
5,0.438075304
6,0.368687421
7,0.32320106
8,0.285086632
9,0.433764607
10,0.354564667
11,0.311010599
12,0.277882159
13,0.449070454
14,0.375914305
15,0.332869172
16,0.292448133
17,0.473764092
18,0.44179377
19,0.451498955
20,0.461836159
0,0.525650024
1,0.529654801
2,0.509304047
3,0.485602051
4,0.468287438
5,0.44632265
6,0.3981646
7,0.369626433
8,0.343993872
9,0.427072674
10,0.362227738
11,0.311855912
12,0.263511777
13,0.425317764
14,0.366266549
15,0.319449395
16,0.278489888
17,0.432296485
18,0.389835805
19,0.357683271
20,0.328966439
0,0.633596957
1,0.59551096
2,0.538414836
3,0.495841384
4,0.462981135
5,0.440119326
6,0.370058477
7,0.324897528
8,0.286509037
9,0.436161816
10,0.351888984
11,0.303838193
12,0.266852975
13,0.450547785
14,0.381880283
15,0.336120784
16,0.293232739
17,0.475919217
18,0.451553285
19,0.471435636
20,0.493203759
0,0.55342412
1,0.544402897
2,0.518873811
3,0.495340288
4,0.475607604
5,0.431423366
6,0.36522755
7,0.321061373
8,0.283536643
9,0.423423082
10,0.353494942
11,0.306324363
12,0.264475524
13,0.433995515
14,0.37479341
15,0.333388388
16,0.298416406
17,0.455831856
18,0.422005117
19,0.405937493
20,0.393002003
0,0.635980666
1,0.595327675
2,0.536906123
3,0.495179355
4,0.467600107
5,0.438496768
6,0.366914958
7,0.321600348
8,0.281928837
9,0.434842855
10,0.353314131
11,0.305635631
12,0.266683668
13,0.451777905
14,0.382528096
15,0.33748585
16,0.293897688
17,0.481963962
18,0.455913037
19,0.475773722
20,0.496481061
0,0.582786322
1,0.56756711
2,0.529823303
3,0.497768253
4,0.469071209
5,0.434550047
6,0.364920527
7,0.321185648
8,0.282815576
9,0.42939651
10,0.356764585
11,0.309272796
12,0.270338118
13,0.446785271
14,0.380353034
15,0.336906999
16,0.298010945
17,0.474860847
18,0.450210243
19,0.4620682
20,0.475702852
0,0.639520288
1,0.597092748
2,0.537523389
3,0.493385106
4,0.464060694
5,0.438582063
6,0.36725527
7,0.321350157
8,0.28247869
9,0.434214205
10,0.353340298
11,0.306635022
12,0.269215375
13,0.451335132
14,0.379643649
15,0.333699197
16,0.290853977
17,0.481184632
18,0.454589844
19,0.471519083
20,0.489166826
0,0.637936234
1,0.596845686
2,0.538291812
3,0.495486557
4,0.464549333
5,0.438894987
6,0.366116762
7,0.32013914
8,0.2800318
9,0.433472633
10,0.350951612
11,0.303386688
12,0.264199078
13,0.449304074
14,0.380141467
15,0.334306002
16,0.290392578
17,0.479072392
18,0.45614475
19,0.477339387
20,0.498385906
0,0.543368518
1,0.536593914
2,0.514214873
3,0.493844777
4,0.475943953
5,0.43177399
6,0.366729319
7,0.326188266
8,0.292586565
9,0.423683912
10,0.35047996
11,0.30224663
12,0.258186042
13,0.43788895
14,0.378199458
15,0.339310795
16,0.30356428
17,0.465221912
18,0.461381793
19,0.466973156
20,0.46938628
0,0.636984766
1,0.595942974
2,0.538105011
3,0.495926023
4,0.469240427
5,0.436053932
6,0.364549726
7,0.317578197
8,0.278234899
9,0.433816761
10,0.351192713
11,0.303698063
12,0.264494985
13,0.452911437
14,0.3827236
15,0.336855054
16,0.294137895
17,0.483452886
18,0.456997871
19,0.476605922
20,0.498028249
0,0.570052505
1,0.558820128
2,0.530146599
3,0.501788437
4,0.47299096
5,0.430991203
6,0.363650978
7,0.318685353
8,0.27918753
9,0.426734298
10,0.354744047
11,0.309500396
12,0.270325005
13,0.444579124
14,0.383712828
15,0.343868673
16,0.307003736
17,0.472210079
18,0.453938156
19,0.464447618
20,0.474731296
0,0.636677563
1,0.596470296
2,0.538654923
3,0.496950686
4,0.469478935
5,0.438364536
6,0.367583483
7,0.321277261
8,0.281358004
9,0.435111105
10,0.352701366
11,0.304372251
12,0.264133126
13,0.452711105
14,0.381878078
15,0.335566431
16,0.29213798
17,0.482865572
18,0.4574022
19,0.479447961
20,0.502630174
0,0.635925353
1,0.596352696
2,0.538416266
3,0.49875319
4,0.474087209
5,0.437550664
6,0.366735041
7,0.319667727
8,0.279909939
9,0.435220391
10,0.353793442
11,0.306386441
12,0.26793927
13,0.453213722
14,0.383010596
15,0.336303413
16,0.293400675
17,0.483067662
18,0.45785746
19,0.481433094
20,0.508471608
0,0.557491064
1,0.548042893
2,0.520682752
3,0.497484624
4,0.480808944
5,0.430641145
6,0.363255471
7,0.322304577
8,0.287580311
9,0.425963372
10,0.35085535
11,0.302054316
12,0.258483469
13,0.443985194
14,0.396651089
15,0.386301786
16,0.373737872
17,0.475571781
18,0.464755565
19,0.475832045
20,0.483476281
0,0.635237038
1,0.595567584
2,0.538328767
3,0.499737382
4,0.474549323
5,0.436640263
6,0.365937352
7,0.319146037
8,0.279256642
9,0.435411036
10,0.353327274
11,0.306770384
12,0.268786848
13,0.453549892
14,0.383591801
15,0.337255299
16,0.293827415
17,0.48390463
18,0.459323168
19,0.485303313
20,0.51440686
0,0.635504961
1,0.596213341
2,0.537261248
3,0.498104364
4,0.473896235
5,0.436662227
6,0.365265727
7,0.318573534
8,0.278136253
9,0.435367823
10,0.351972133
11,0.304645419
12,0.266395867
13,0.454261303
14,0.383871615
15,0.337888002
16,0.293779105
17,0.486354947
18,0.460089177
19,0.48750177
20,0.518199801
0,0.549568832
1,0.538035572
2,0.509449661
3,0.486952782
4,0.478210658
5,0.426417828
6,0.356441408
7,0.307810187
8,0.270415306
9,0.4262321
10,0.35041821
11,0.298044115
12,0.249023035
13,0.445879757
14,0.406186074
15,0.409764946
16,0.408179194
17,0.476939738
18,0.468442202
19,0.478057891
20,0.483748317
0,0.633908629
1,0.594991922
2,0.537035406
3,0.497452408
4,0.47047025
5,0.436689258
6,0.3649351
7,0.318091154
8,0.277807653
9,0.43473953
10,0.351935148
11,0.304782689
12,0.26674068
13,0.451829225
14,0.381561756
15,0.335196793
16,0.291505516
17,0.4814336
18,0.454655468
19,0.479904145
20,0.509136438
0,0.584830344
1,0.571187139
2,0.534307897
3,0.49818325
4,0.468988389
5,0.432064593
6,0.359247893
7,0.312754393
8,0.273444712
9,0.430225581
10,0.352687299
11,0.305383623
12,0.266430318
13,0.450372517
14,0.385803998
15,0.343989313
16,0.306613117
17,0.480190873
18,0.459540516
19,0.472007483
20,0.48521322
0,0.63439393
1,0.59461832
2,0.53661406
3,0.496750474
4,0.470197588
5,0.435864896
6,0.364179611
7,0.317629457
8,0.277761579
9,0.433704555
10,0.350398421
11,0.30319193
12,0.265228391
13,0.451001793
14,0.381311476
15,0.335405409
16,0.292001843
17,0.481068403
18,0.455301642
19,0.480329245
20,0.509059191
0,0.635369658
1,0.594723344
2,0.535977423
3,0.495756418
4,0.470400244
5,0.435468018
6,0.364109218
7,0.316828847
8,0.277094632
9,0.433934927
10,0.351272225
11,0.303924263
12,0.265669823
13,0.4513928
14,0.380838513
15,0.334214151
16,0.290571272
17,0.481078327
18,0.454293996
19,0.477638245
20,0.505854189
0,0.544244409
1,0.536800086
2,0.508446991
3,0.481186092
4,0.470950365
5,0.442915529
6,0.380794764
7,0.337921113
8,0.302579999
9,0.426863164
10,0.359353662
11,0.311418384
12,0.268836737
13,0.426461995
14,0.358760953
15,0.313863099
16,0.276861042
17,0.435511082
18,0.387187302
19,0.354795694
20,0.327049196
0,0.637952447
1,0.597444654
2,0.538619518
3,0.494982302
4,0.470892161
5,0.438520908
6,0.366643161
7,0.3175309
8,0.278378546
9,0.437309921
10,0.354175836
11,0.305898637
12,0.265897393
13,0.453438967
14,0.383220226
15,0.33530423
16,0.292366326
17,0.480782241
18,0.455051094
19,0.478472233
20,0.508364558
